r,c,lon,lat,lst
6.0,17.0,88.2864406779661,22.669491525423727,35.0
6.0,18.0,88.29152542372881,22.669491525423727,35.3
6.0,19.0,88.29661016949153,22.669491525423727,41.5
6.0,20.0,88.30169491525425,22.669491525423727,37.2
6.0,21.0,88.30677966101695,22.669491525423727,35.6
6.0,22.0,88.31186440677966,22.669491525423727,35.1
6.0,23.0,88.31694915254238,22.669491525423727,35.4
6.0,24.0,88.32203389830508,22.669491525423727,33.0
6.0,25.0,88.3271186440678,22.669491525423727,36.2
6.0,26.0,88.33220338983051,22.669491525423727,36.3
6.0,27.0,88.33728813559323,22.669491525423727,37.2
6.0,28.0,88.34237288135593,22.669491525423727,39.5
6.0,29.0,88.34745762711864,22.669491525423727,39.7
6.0,30.0,88.35254237288136,22.669491525423727,31.6
6.0,31.0,88.35762711864407,22.669491525423727,30.4
6.0,32.0,88.36271186440678,22.669491525423727,39.6
6.0,33.0,88.36779661016949,22.669491525423727,41.1
6.0,34.0,88.37288135593221,22.669491525423727,39.2
6.0,35.0,88.37796610169492,22.669491525423727,39.9
6.0,36.0,88.38305084745762,22.669491525423727,39.5
6.0,37.0,88.38813559322034,22.669491525423727,39.9
6.0,38.0,88.39322033898306,22.669491525423727,36.9
6.0,39.0,88.39830508474576,22.669491525423727,38.7
6.0,40.0,88.40338983050847,22.669491525423727,38.4
6.0,41.0,88.40847457627119,22.669491525423727,38.3
6.0,42.0,88.4135593220339,22.669491525423727,39.0
6.0,43.0,88.4186440677966,22.669491525423727,38.1
6.0,44.0,88.42372881355932,22.669491525423727,37.4
6.0,45.0,88.42881355932204,22.669491525423727,36.4
6.0,46.0,88.43389830508475,22.669491525423727,38.8
6.0,47.0,88.43898305084745,22.669491525423727,37.9
6.0,48.0,88.44406779661017,22.669491525423727,40.1
6.0,49.0,88.44915254237289,22.669491525423727,43.2
6.0,50.0,88.45423728813559,22.669491525423727,37.3
6.0,51.0,88.4593220338983,22.669491525423727,39.9
6.0,52.0,88.46440677966102,22.669491525423727,38.8
6.0,53.0,88.46949152542373,22.669491525423727,37.1
6.0,54.0,88.47457627118644,22.669491525423727,35.0
6.0,55.0,88.47966101694915,22.669491525423727,35.4
6.0,56.0,88.48474576271187,22.669491525423727,34.8
6.0,57.0,88.48983050847458,22.669491525423727,35.2
6.0,58.0,88.49491525423728,22.669491525423727,35.7
6.0,59.0,88.5,22.669491525423727,35.9
7.0,0.0,88.2,22.664406779661014,33.7
7.0,1.0,88.20508474576272,22.664406779661014,35.1
7.0,2.0,88.21016949152542,22.664406779661014,36.4
7.0,3.0,88.21525423728814,22.664406779661014,35.9
7.0,4.0,88.22033898305085,22.664406779661014,35.5
7.0,5.0,88.22542372881357,22.664406779661014,34.8
7.0,6.0,88.23050847457627,22.664406779661014,34.0
7.0,7.0,88.23559322033898,22.664406779661014,35.5
7.0,8.0,88.2406779661017,22.664406779661014,35.7
7.0,9.0,88.24576271186442,22.664406779661014,35.2
7.0,10.0,88.25084745762712,22.664406779661014,34.5
7.0,11.0,88.25593220338983,22.664406779661014,34.8
7.0,12.0,88.26101694915255,22.664406779661014,33.4
7.0,13.0,88.26610169491525,22.664406779661014,35.2
7.0,14.0,88.27118644067797,22.664406779661014,34.8
7.0,15.0,88.27627118644068,22.664406779661014,35.5
7.0,16.0,88.2813559322034,22.664406779661014,35.1
7.0,17.0,88.2864406779661,22.664406779661014,34.9
7.0,18.0,88.29152542372881,22.664406779661014,33.6
7.0,19.0,88.29661016949153,22.664406779661014,32.1
7.0,20.0,88.30169491525425,22.664406779661014,35.1
7.0,21.0,88.30677966101695,22.664406779661014,36.6
7.0,22.0,88.31186440677966,22.664406779661014,34.9
7.0,23.0,88.31694915254238,22.664406779661014,36.3
7.0,24.0,88.32203389830508,22.664406779661014,33.7
7.0,25.0,88.3271186440678,22.664406779661014,33.6
7.0,26.0,88.33220338983051,22.664406779661014,32.8
7.0,27.0,88.33728813559323,22.664406779661014,36.5
7.0,28.0,88.34237288135593,22.664406779661014,38.3
7.0,29.0,88.34745762711864,22.664406779661014,39.4
7.0,30.0,88.35254237288136,22.664406779661014,30.6
7.0,31.0,88.35762711864407,22.664406779661014,37.6
7.0,32.0,88.36271186440678,22.664406779661014,39.6
7.0,33.0,88.36779661016949,22.664406779661014,40.0
7.0,34.0,88.37288135593221,22.664406779661014,38.4
7.0,35.0,88.37796610169492,22.664406779661014,38.9
7.0,36.0,88.38305084745762,22.664406779661014,38.7
7.0,37.0,88.38813559322034,22.664406779661014,39.1
7.0,38.0,88.39322033898306,22.664406779661014,38.3
7.0,39.0,88.39830508474576,22.664406779661014,39.1
7.0,40.0,88.40338983050847,22.664406779661014,38.7
7.0,41.0,88.40847457627119,22.664406779661014,37.2
7.0,42.0,88.4135593220339,22.664406779661014,38.0
7.0,43.0,88.4186440677966,22.664406779661014,37.7
7.0,44.0,88.42372881355932,22.664406779661014,40.1
7.0,45.0,88.42881355932204,22.664406779661014,39.9
7.0,46.0,88.43389830508475,22.664406779661014,37.8
7.0,47.0,88.43898305084745,22.664406779661014,37.7
7.0,48.0,88.44406779661017,22.664406779661014,40.4
7.0,49.0,88.44915254237289,22.664406779661014,42.2
7.0,50.0,88.45423728813559,22.664406779661014,35.6
7.0,51.0,88.4593220338983,22.664406779661014,36.7
7.0,52.0,88.46440677966102,22.664406779661014,36.2
7.0,53.0,88.46949152542373,22.664406779661014,35.6
7.0,54.0,88.47457627118644,22.664406779661014,35.9
7.0,55.0,88.47966101694915,22.664406779661014,34.8
7.0,56.0,88.48474576271187,22.664406779661014,36.8
7.0,57.0,88.48983050847458,22.664406779661014,36.5
7.0,58.0,88.49491525423728,22.664406779661014,34.5
7.0,59.0,88.5,22.664406779661014,36.5
8.0,0.0,88.2,22.659322033898306,33.0
8.0,1.0,88.20508474576272,22.659322033898306,34.4
8.0,2.0,88.21016949152542,22.659322033898306,36.4
8.0,3.0,88.21525423728814,22.659322033898306,34.9
8.0,4.0,88.22033898305085,22.659322033898306,35.0
8.0,5.0,88.22542372881357,22.659322033898306,33.7
8.0,6.0,88.23050847457627,22.659322033898306,34.6
8.0,7.0,88.23559322033898,22.659322033898306,35.5
8.0,8.0,88.2406779661017,22.659322033898306,35.2
8.0,9.0,88.24576271186442,22.659322033898306,33.8
8.0,10.0,88.25084745762712,22.659322033898306,35.1
8.0,11.0,88.25593220338983,22.659322033898306,34.3
8.0,12.0,88.26101694915255,22.659322033898306,35.4
8.0,13.0,88.26610169491525,22.659322033898306,35.8
8.0,14.0,88.27118644067797,22.659322033898306,34.2
8.0,15.0,88.27627118644068,22.659322033898306,35.3
8.0,16.0,88.2813559322034,22.659322033898306,34.9
8.0,17.0,88.2864406779661,22.659322033898306,35.5
